imageUrl,nombre,población,idioma,zonaHoraria,gdpPerCapita,grupoÉtnicoPredominante
https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/22px-Flag_of_Brazil.svg.png,Brasil,204519000,portugués,UTC-2,15941,caucásico
https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/23px-Flag_of_Colombia.svg.png,Colombia,48218000,español,UTC-5,14164,mestizo
https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/23px-Flag_of_Argentina.svg.png,Argentina,43132000,español,UTC-3,22459,caucásico
https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Peru.svg/23px-Flag_of_Peru.svg.png,Perú,31153000,español,UTC-5,12638,amerindio
https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Venezuela.svg/23px-Flag_of_Venezuela.svg.png,Venezuela,30620000,español,UTC-4.5,17694,mestizo
https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/23px-Flag_of_Chile.svg.png,Chile,18006000,español,UTC-3,23165,caucásico
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/23px-Flag_of_Ecuador.svg.png,Ecuador,16279000,español,UTC-5,11352,mestizo
https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Bolivia.svg/22px-Flag_of_Bolivia.svg.png,Bolivia,10520000,español,UTC-4,6222,amerindio
https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Paraguay.svg/23px-Flag_of_Paraguay.svg.png,Paraguay,7003000,español,UTC-4,8716,mestizo
https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Uruguay.svg/23px-Flag_of_Uruguay.svg.png,Uruguay,3310000,español,UTC-3,21387,caucásico
https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_Guyana.svg/23px-Flag_of_Guyana.svg.png,Guyana,747000,english,UTC-4,7938,indio
https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Flag_of_Suriname.svg/23px-Flag_of_Suriname.svg.png,Suriname,560000,holandés,UTC-3,16623,indio
